to_year,obs,moves,move_rate,move_rate_pct
2000,1070174,0,0.0,0.0
2001,1070174,2,2e-06,0.0002
2002,1070174,6,6e-06,0.0006
2003,1070174,12,1.1e-05,0.0011
2004,1070174,9,8e-06,0.0008
2005,1070174,19,1.8e-05,0.0018
2006,1070174,14,1.3e-05,0.0013
2007,1070174,22,2.1e-05,0.0021
2008,1070174,33,3.1e-05,0.0031
2009,1070174,27,2.5e-05,0.0025
2010,1070174,32,3e-05,0.003
2011,1070174,56,5.2e-05,0.0052
2012,1070174,45,4.2e-05,0.0042
2013,1070174,78,7.3e-05,0.0073
2014,1070174,81,7.6e-05,0.0076
2015,1070174,126,0.000118,0.0118
2016,1070174,146,0.000136,0.0136
2017,1070174,114,0.000107,0.0107
2018,1070174,163,0.000152,0.0152
2019,1070174,193,0.00018,0.018
2020,1070174,207,0.000193,0.0193
2021,1070174,205,0.000192,0.0192
2022,1070174,218,0.000204,0.0204
2023,1070174,230,0.000215,0.0215
2024,1070174,239,0.000223,0.0223
2025,1070174,222,0.000207,0.0207
