year,coef_delta_lambda,se_delta_lambda,t_delta_lambda,p_delta_lambda,coef_lambda_pre,se_lambda_pre,n_obs,n_moves,move_rate,r2
2005,3.6429086116630746e-06,3.880521351638625e-05,0.09387678308031436,0.9252070543680406,3.204449963956008e-05,4.145120407127719e-05,1070174,19,1.7754122226852828e-05,7.780986545080637e-07
2006,7.12974568409691e-05,3.3307139884187605e-05,2.140605800704527,0.03230606591738794,7.605705957638977e-05,3.5578236202386626e-05,1070174,14,1.3081984798733664e-05,5.293210018852967e-06
2007,9.344291477727717e-05,4.175671249644067e-05,2.2377938585381263,0.025234706004476415,0.00014417264561338244,4.460395535009029e-05,1070174,22,2.055740468372433e-05,9.854925671626269e-06
2008,7.586283194378772e-05,5.114086731189021e-05,1.4834091780478988,0.13796602489984378,0.00016033745555036385,5.462798256301623e-05,1070174,33,3.0836107025586494e-05,8.207305758789474e-06
2009,6.944742003154304e-05,4.6259415850969605e-05,1.5012602030098356,0.133288569065932,0.00019237354461183257,4.941368215502566e-05,1070174,27,2.5229542111843495e-05,1.5369200910608782e-05
2010,5.5233589786882626e-05,5.0361528115697225e-05,1.0967417362712397,0.27275455295368545,0.00012728117696282352,5.379550297754766e-05,1070174,32,2.990167953996266e-05,5.4258621257075035e-06
2011,0.0001383999582978145,6.662017412239212e-05,2.0774481622271237,0.03776045282605334,0.0001699842180306865,7.11627686739877e-05,1070174,56,5.2327939194934656e-05,5.885750420264735e-06
2012,7.380355430321801e-06,5.9718576017809954e-05,0.12358558965171486,0.9016434260097075,6.465888034392881e-05,6.379057495238447e-05,1070174,45,4.204923685307249e-05,1.3369071606428307e-06
2013,9.224362319180147e-05,7.861523347711707e-05,1.1733555840504029,0.24065350195294255,0.0002454078419616405,8.397572879208703e-05,1070174,78,7.288534387865898e-05,8.569483530340705e-06
2014,8.897492288516257e-05,8.011659882099407e-05,1.1105678997177701,0.26675463587733317,0.000411868054755673,8.557946694001166e-05,1070174,81,7.568862633553049e-05,2.6805953808106686e-05
2015,0.00031566444216265735,9.992159942148233e-05,3.159121190916326,0.0015825007112124645,0.0005976802472929626,0.00010673490063388755,1070174,126,0.00011773786318860298,2.9424480111450713e-05
2016,0.0002621189232591081,0.00010756197064532388,2.4369107565295747,0.014813496554500594,0.0005157421741019492,0.00011489624180640902,1070174,146,0.00013642641290107963,1.898797797061924e-05
2017,0.00034033690465137356,9.504528419839653e-05,3.5807868588299225,0.00034257617991251266,0.0003205439696118288,0.00010152608668566248,1070174,114,0.00010652473336111698,1.3347014127362833e-05
2018,0.00027075795712176536,0.00011364818010801087,2.3824222866080027,0.017199335333585752,0.00047793361639467705,0.00012139744841236795,1070174,163,0.0001523116801566848,1.4485495008820237e-05
2019,0.00026195452895917427,0.00012365756387603308,2.118386621474964,0.034142567771278554,0.0006148322114237584,0.0001320893367335292,1070174,193,0.0001803445047253998,2.1085140383791945e-05
2020,0.0004046539588341471,0.0001280613631459003,3.1598442254056356,0.0015785790370057562,0.000645517453198326,0.0001367934155333308,1070174,207,0.00019342648952413346,2.0905208135801878e-05
