Year,δ_τ (Coef),SE,t-stat,p-value,N,Moves
2005,3.6429086116630742e-06,3.880521351638625e-05,0.0938767830803143,0.9252070543680406,1070174,19
2006,7.12974568409691e-05,3.3307139884187605e-05,2.140605800704527,0.0323060659173879,1070174,14
2007,9.344291477727717e-05,4.175671249644067e-05,2.2377938585381263,0.0252347060044764,1070174,22
2008,7.586283194378772e-05,5.114086731189021e-05,1.4834091780478988,0.1379660248998437,1070174,33
2009,6.944742003154304e-05,4.6259415850969605e-05,1.5012602030098356,0.133288569065932,1070174,27
2010,5.523358978688263e-05,5.0361528115697225e-05,1.0967417362712395,0.2727545529536854,1070174,32
2011,0.0001383999582978,6.662017412239212e-05,2.077448162227124,0.0377604528260533,1070174,56
2012,7.380355430321801e-06,5.9718576017809954e-05,0.1235855896517148,0.9016434260097076,1070174,45
2013,9.224362319180149e-05,7.861523347711707e-05,1.1733555840504029,0.2406535019529425,1070174,78
2014,8.897492288516257e-05,8.011659882099407e-05,1.11056789971777,0.2667546358773331,1070174,81
2015,0.0003156644421626,9.992159942148232e-05,3.159121190916326,0.0015825007112124,1070174,126
2016,0.0002621189232591,0.0001075619706453,2.4369107565295747,0.0148134965545005,1070174,146
2017,0.0003403369046513,9.504528419839651e-05,3.5807868588299225,0.0003425761799125,1070174,114
2018,0.0002707579571217,0.000113648180108,2.3824222866080027,0.0171993353335857,1070174,163
2019,0.0002619545289591,0.000123657563876,2.118386621474964,0.0341425677712785,1070174,193
2020,0.0004046539588341,0.0001280613631459,3.159844225405636,0.0015785790370057,1070174,207
